carreer_name,courses_name,courses_ref,number_courses
Carrera de Desarrollo Backend con Python,Curso profesional de Git y GitHub -- Fundamentos de Bases de Datos -- Curso de Python -- Curso de PostgreSQL -- Curso de Administración de Servidores Linux -- Curso de Django,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/python/ -- https://platzi.com/cursos/postgresql/ -- https://platzi.com/cursos/linux/ -- https://platzi.com/cursos/django/,6
Carrera de Firebase,Curso profesional de Git y GitHub -- Curso Gratis de Programación Básica -- Introducción a Terminal y Línea de Comandos -- Curso de Firebase para Web -- Curso Profesional de Firebase para Android,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/programacion-basica/ -- https://platzi.com/cursos/terminal/ -- https://platzi.com/cursos/firebase-web/ -- https://platzi.com/cursos/firebase/,5
Carrera de Marketing Basado en Datos,Curso Gratis de Programación Básica -- Fundamentos de Bases de Datos -- Curso de Marketing Móvil -- Curso de Growth Marketing -- Curso Profesional de Google Analytics -- Curso de Google Analytics para Desarrolladores -- Curso de Facebook Analytics -- Curso de Optimización de Campañas Digitales con Datagran,https://platzi.com/cursos/programacion-basica/ -- https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/movil/ -- https://platzi.com/cursos/growth-marketing/ -- https://platzi.com/cursos/google-analytics/ -- https://platzi.com/cursos/gajs/ -- https://platzi.com/cursos/fb-analytics/ -- https://platzi.com/cursos/optimizacion-campanas/,8
Carrera de Administración de Servidores y DevOps,Introducción a Terminal y Línea de Comandos -- Fundamentos de IBM Cloud -- Curso de Administración de Servidores Linux -- Curso de Azure IaaS -- Curso Profesional de DevOps -- Curso de Azure PaaS -- Curso de DigitalOcean -- Curso de Deploy con Now.sh -- Curso de Fundamentos de AWS Cloud -- Fundamentos de Docker,https://platzi.com/cursos/terminal/ -- https://platzi.com/cursos/ibm-cloud/ -- https://platzi.com/cursos/linux/ -- https://platzi.com/cursos/azure/ -- https://platzi.com/cursos/devops/ -- https://platzi.com/cursos/azure-paas/ -- https://platzi.com/cursos/digital-ocean/ -- https://platzi.com/cursos/deploy-now/ -- https://platzi.com/cursos/aws-cloud/ -- https://platzi.com/cursos/docker/,10
Carrera de Bases de Datos,Fundamentos de Bases de Datos -- Curso de PostgreSQL -- Curso de SQL y MySQL -- Curso de MongoDB y Redis,https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/postgresql/ -- https://platzi.com/cursos/sql-mysql/ -- https://platzi.com/cursos/mongodb-redis/,4
Carrera de Internet of Things,Curso de Algoritmos con C -- Fundamentos de Desarrollo de Hardware con Arduino -- Curso de Robótica con Arduino -- Curso Avanzado de Node.js -- Curso de Diseño de Circuitos Electrónicos,https://platzi.com/cursos/algoritmos/ -- https://platzi.com/cursos/fundamentos-arduino/ -- https://platzi.com/cursos/robotica-arduino/ -- https://platzi.com/cursos/nodejs/ -- https://platzi.com/cursos/circuitos-electronicos/,5
Carrera de Seguridad Informática,Curso de Redes de Internet -- Curso de Administración de Servidores Linux -- Curso de Seguridad Informática para Empresas -- Introducción a la Seguridad Informática -- Curso de Pentesting -- Curso de Análisis de Vulnerabilidades Web con OWASP -- Curso de Auditorías de Seguridad Informática a Aplicaciones Web,https://platzi.com/cursos/redes/ -- https://platzi.com/cursos/linux/ -- https://platzi.com/cursos/seguridad-empresas/ -- https://platzi.com/cursos/seguridad-informatica/ -- https://platzi.com/cursos/pentesting/ -- https://platzi.com/cursos/seguridad/ -- https://platzi.com/cursos/auditorias-web/,7
Carrera de Desarrollo con JavaScript,Curso Avanzado de Node.js -- Curso de Angular 4 -- Curso básico de Vue.js -- Curso Profesional de VueJS -- Curso de MEAN -- Curso de Webpack -- Curso de GraphQL -- Curso de JavaScript Full Stack con Sails.js -- Curso de Realidad Virtual para Web -- Curso de jQuery a JavaScript -- Fundamentos de JavaScript -- Curso de JavaScript Testing con Jest,https://platzi.com/cursos/nodejs/ -- https://platzi.com/cursos/angular/ -- https://platzi.com/cursos/vuejs/ -- https://platzi.com/cursos/vuejs-profesional/ -- https://platzi.com/cursos/mean/ -- https://platzi.com/cursos/webpack/ -- https://platzi.com/cursos/graphql/ -- https://platzi.com/cursos/javascript-pro/ -- https://platzi.com/cursos/web-vr/ -- https://platzi.com/cursos/jquery-js/ -- https://platzi.com/cursos/fundamentos-javascript/ -- https://platzi.com/cursos/js-jest/,12
Carrera de Matemáticas para Programación,Curso de Probabilidad y Estadística -- Curso de Matemáticas Discretas -- Curso de Ecuaciones Diferenciales -- Curso de Cálculo para Análisis de Datos -- Curso de Excel para el Análisis de Datos -- Curso de Álgebra Lineal -- Curso de Cálculo Multivariable,https://platzi.com/cursos/probabilidad-estadistica/ -- https://platzi.com/cursos/discretas/ -- https://platzi.com/cursos/ecuaciones/ -- https://platzi.com/cursos/calculo-datos/ -- https://platzi.com/cursos/excel/ -- https://platzi.com/cursos/algebra-lineal/ -- https://platzi.com/cursos/calculo-multivariable/,7
Carrera de Google Cloud Platform,Fundamentos de Google Cloud Platform por Xertica -- Curso de Google App Engine por Xertica,https://platzi.com/cursos/fundamentos-google/ -- https://platzi.com/cursos/app-engine/,2
Carrera de IBM Cloud,Fundamentos de IBM Cloud -- Curso de Inteligencia Artificial con IBM Watson,https://platzi.com/cursos/ibm-cloud/ -- https://platzi.com/cursos/ibm-watson/,2
Carrera de Diseño Gráfico,Fundamentos de Diseño -- Curso de Illustrator -- Curso Básico de Photoshop -- Curso de Diseño Visual de Marcas -- Curso de Fotografía y Lightroom -- Curso de Ilustración Digital con Vectores,https://platzi.com/cursos/fundamentos-diseno/ -- https://platzi.com/cursos/illustrator/ -- https://platzi.com/cursos/photoshop-basico/ -- https://platzi.com/cursos/marca-visual/ -- https://platzi.com/cursos/lightroom/ -- https://platzi.com/cursos/ilustracion-illustrator/,6
Carrera de Producción Audiovisual,Curso de Fotografía y Lightroom -- Introducción a la Creación de Personajes -- Curso de Diseño y Prototipado de Personajes -- Curso de Introducción al Lenguaje Audiovisual -- Curso de Introducción a la Edición con Premiere -- Curso de Producción para Youtube -- Curso Básico de Producción de Audio con Pro Tools -- Curso de Creación de Podcasts -- Curso Profesional de Photoshop para Fotografía -- Curso de Edición Avanzada con Adobe Creative Cloud -- Curso Profesional de After Effects,https://platzi.com/cursos/lightroom/ -- https://platzi.com/cursos/creacion-personajes/ -- https://platzi.com/cursos/prototipado-personajes/ -- https://platzi.com/cursos/lenguaje-audiovisual/ -- https://platzi.com/cursos/premiere/ -- https://platzi.com/cursos/youtube/ -- https://platzi.com/cursos/edicion-protools/ -- https://platzi.com/cursos/creacion-podcasts/ -- https://platzi.com/cursos/photoshop-profesional/ -- https://platzi.com/cursos/edicion-avanzada/ -- https://platzi.com/cursos/after-effects/,11
Carrera de Videojuegos,Curso de Creación de Videojuegos -- Curso de Programación de Videojuegos 2D con Unity -- Curso de Programación de Videojuegos 3D con Unity -- Curso de Introducción a la Realidad Aumentada -- Curso de Diseño de Videojuegos -- Curso de Testing de Videojuegos -- Curso de animación y arte de videojuegos -- Curso de marketing y negocios para Videojuegos -- Curso de Desarrollo de Videojuegos con Unreal Engine -- Curso de Creación de Videojuegos de Realidad Virtual -- Curso de Emprendimiento en Videojuegos con Realidad Virtual y Aumentada -- Introducción a la Creación de Personajes -- Curso de Diseño y Prototipado de Personajes,https://platzi.com/cursos/creacion-videojuegos/ -- https://platzi.com/cursos/unity-2d/ -- https://platzi.com/cursos/unity-3d/ -- https://platzi.com/cursos/realidad-aumentada/ -- https://platzi.com/cursos/diseno-videojuegos/ -- https://platzi.com/cursos/testing-videojuegos/ -- https://platzi.com/cursos/animacion-videojuegos/ -- https://platzi.com/cursos/marketing-videojuegos/ -- https://platzi.com/cursos/unreal/ -- https://platzi.com/cursos/unreal-engine-vr/ -- https://platzi.com/cursos/negocios-videojuegos/ -- https://platzi.com/cursos/creacion-personajes/ -- https://platzi.com/cursos/prototipado-personajes/,13
Carrera de Desarrollo con Unity,Curso de Creación de Videojuegos -- Curso de Programación de Videojuegos 2D con Unity -- Curso de Programación de Videojuegos 3D con Unity,https://platzi.com/cursos/creacion-videojuegos/ -- https://platzi.com/cursos/unity-2d/ -- https://platzi.com/cursos/unity-3d/,3
Carrera de Negocios Online,Curso para Líderes en formación -- Curso de Liderazgo para Equipos de Trabajo -- Cómo prepararte profesionalmente para el futuro -- Curso de Hablar en Público -- Curso de Escritura Online -- Curso de Escritura en Inglés -- Curso de Inglés Técnico para Profesionales -- Curso de Bitcoin y Blockchain -- Curso de Inversión en Criptomonedas -- Curso de Marca Personal -- Curso de Seguridad Informática para Empresas -- Fundamentos de la Gestión de Proyectos -- Curso de Ventas y Fidelización de Clientes -- Curso de Finanzas Personales -- Curso de Certificación PMP -- Curso de Desarrollo de Productos con Metodología Lean -- Curso de Atención al Cliente y Soporte a Usuarios -- Curso de SCRUM -- Curso de Business Model Canvas -- Curso de Transformación Digital para Empresas -- Curso de Introducción a los Negocios Online,https://platzi.com/cursos/liderazgo-basico/ -- https://platzi.com/cursos/liderazgo-equipos/ -- https://platzi.com/cursos/futuro-profesional/ -- https://platzi.com/cursos/hablar-en-publico/ -- https://platzi.com/cursos/escritura/ -- https://platzi.com/cursos/escritura-ingles/ -- https://platzi.com/cursos/ingles/ -- https://platzi.com/cursos/bitcoin/ -- https://platzi.com/cursos/inversion-criptomonedas/ -- https://platzi.com/cursos/marca-personal/ -- https://platzi.com/cursos/seguridad-empresas/ -- https://platzi.com/cursos/pmi/ -- https://platzi.com/cursos/ventas/ -- https://platzi.com/cursos/finanzas/ -- https://platzi.com/cursos/certificacion-pmp/ -- https://platzi.com/cursos/lean-ux/ -- https://platzi.com/cursos/atencion-cliente/ -- https://platzi.com/cursos/scrum/ -- https://platzi.com/cursos/canvas/ -- https://platzi.com/cursos/transforma-digital/ -- https://platzi.com/cursos/negocios-online/,21
Carrera de Crecimiento Profesional,Curso para Líderes en formación -- Curso de Liderazgo para Equipos de Trabajo -- Cómo prepararte profesionalmente para el futuro -- Curso de Hablar en Público -- Curso de Escritura Online -- Curso de Escritura en Inglés -- Curso de Inglés Técnico para Profesionales -- Curso de Storytelling -- Curso Básico de Inglés,https://platzi.com/cursos/liderazgo-basico/ -- https://platzi.com/cursos/liderazgo-equipos/ -- https://platzi.com/cursos/futuro-profesional/ -- https://platzi.com/cursos/hablar-en-publico/ -- https://platzi.com/cursos/escritura/ -- https://platzi.com/cursos/escritura-ingles/ -- https://platzi.com/cursos/ingles/ -- https://platzi.com/cursos/storytelling/ -- https://platzi.com/cursos/ingles-basico/,9
Carrera de Inbound Marketing,Curso de Escritura Online -- Curso de Introducción al Marketing Digital -- Curso de Community Manager -- Curso de Marca Personal -- Curso de SEO: Posicionamiento en buscadores -- Curso de Marketing Móvil -- Especialización en Marketing Digital -- Curso de Growth Marketing -- Curso de Construcción de Marca -- Curso de Content Marketing -- Curso de Creación y Optimización del Funnel de Ventas,https://platzi.com/cursos/escritura/ -- https://platzi.com/cursos/introduccion-marketing/ -- https://platzi.com/cursos/community-manager/ -- https://platzi.com/cursos/marca-personal/ -- https://platzi.com/cursos/posicionamiento-buscadores/ -- https://platzi.com/cursos/movil/ -- https://platzi.com/cursos/especializacion-marketing/ -- https://platzi.com/cursos/growth-marketing/ -- https://platzi.com/cursos/branding/ -- https://platzi.com/cursos/contenido/ -- https://platzi.com/cursos/funnel/,11
Carrera de Blockchain y Criptomonedas,Curso de Bitcoin y Blockchain -- Curso de Inversión en Criptomonedas,https://platzi.com/cursos/bitcoin/ -- https://platzi.com/cursos/inversion-criptomonedas/,2
Carrera de Outbound Marketing,Curso de Introducción al Marketing Digital -- Curso de Instagram Ads y Optimización de Campañas -- Curso de Facebook Ads -- Curso Profesional de Google Ads -- Fundamentos de Outbound Marketing y SEM -- Introducción al marketing con influencers -- Curso de Relaciones Públicas y Prensa,https://platzi.com/cursos/introduccion-marketing/ -- https://platzi.com/cursos/instagram/ -- https://platzi.com/cursos/facebook-ads/ -- https://platzi.com/cursos/google-adwords/ -- https://platzi.com/cursos/sem/ -- https://platzi.com/cursos/influencer/ -- https://platzi.com/cursos/relaciones-publicas/,7
Carrera de Email Marketing,Curso de Marketing Móvil -- Curso de Growth Marketing -- Curso de Email Marketing -- Curso de Maquetación para Email Marketing,https://platzi.com/cursos/movil/ -- https://platzi.com/cursos/growth-marketing/ -- https://platzi.com/cursos/email-marketing/ -- https://platzi.com/cursos/diseno-email/,4
Carrera de Desarrollo con Angular,Curso de Angular 4 -- Curso de PWA con Angular -- Curso Básico de Ionic -- Curso de Ionic Avanzado -- Curso de Angular Avanzado,https://platzi.com/cursos/angular/ -- https://platzi.com/cursos/pwa-angular/ -- https://platzi.com/cursos/ionic/ -- https://platzi.com/cursos/ionic-avanzado/ -- https://platzi.com/cursos/angular-avanzado/,5
Carrera de Desarrollo de Apps multiplataforma,Curso de PWA con Angular -- Curso Básico de Ionic -- Curso de Ionic Avanzado -- Curso de Electron: Apps de escritorio en Windows y Mac -- Curso de Progressive Web Apps con React.js -- Curso de Xamarin.Forms,https://platzi.com/cursos/pwa-angular/ -- https://platzi.com/cursos/ionic/ -- https://platzi.com/cursos/ionic-avanzado/ -- https://platzi.com/cursos/electron/ -- https://platzi.com/cursos/pwa-react-js/ -- https://platzi.com/cursos/xamarin-forms/,6
Carrera de Desarrollo con React,Curso de Webpack -- Curso de GraphQL -- Curso de React.js -- Curso de Redux -- Curso de React Native -- Curso de React Navigation -- Curso de Next.js -- Curso de React Router,https://platzi.com/cursos/webpack/ -- https://platzi.com/cursos/graphql/ -- https://platzi.com/cursos/react/ -- https://platzi.com/cursos/redux/ -- https://platzi.com/cursos/react-native/ -- https://platzi.com/cursos/react-navigation/ -- https://platzi.com/cursos/next-js/ -- https://platzi.com/cursos/react-router/,8
Carrera de Inteligencia Artificial,Curso de Python -- Curso de Machine Learning Aplicado con Python -- Curso de Redes Neuronales y Backpropagation -- Curso de Introducción a Machine Learning,https://platzi.com/cursos/python/ -- https://platzi.com/cursos/scikit/ -- https://platzi.com/cursos/redes-neuronales/ -- https://platzi.com/cursos/ia/,4
Carrera de Big Data y Data Science,Curso de Big Data y Ciencia de Datos -- Curso Profesional de Data Science,https://platzi.com/cursos/data/ -- https://platzi.com/cursos/datascience/,2
Carrera de Diseño de Productos Digitales y UX,Curso de Desarrollo de Productos con Metodología Lean -- Curso de Diseño de Interfaces y UX -- Curso de Diseño de Interfaces Móviles -- Curso de Arquitectura de la Información con Usaria -- Cómo ser un Product Designer por Aerolab -- Curso de Design Thinking con Minds Garage -- Curso de Design Sprint -- Curso de User Research -- Introducción al Diseño de Prototipos -- Curso de Gamificación -- Curso de Sketch -- Curso de Adobe XD -- Curso de Diseño de Servicios,https://platzi.com/cursos/lean-ux/ -- https://platzi.com/cursos/diseno-interfaces-ux/ -- https://platzi.com/cursos/interfaces-moviles/ -- https://platzi.com/cursos/arquitectura-informacion/ -- https://platzi.com/cursos/product-designer/ -- https://platzi.com/cursos/design-thinking/ -- https://platzi.com/cursos/design-sprint/ -- https://platzi.com/cursos/user-research/ -- https://platzi.com/cursos/prototipado/ -- https://platzi.com/cursos/gamification/ -- https://platzi.com/cursos/sketch/ -- https://platzi.com/cursos/adobe-xd/ -- https://platzi.com/cursos/servicios/,13
Carrera de Creación de Startups,Introducción a la Creación de Empresas y Startups -- Curso de Internacionalización para Startups -- Cómo conseguir trabajo en Programación -- Taller de creación de Startups -- Curso de Finanzas para Startups,https://platzi.com/cursos/creacion-de-empresas/ -- https://platzi.com/cursos/internacionalizacion-startups/ -- https://platzi.com/cursos/developer/ -- https://platzi.com/cursos/taller-startups/ -- https://platzi.com/cursos/financiera-startups/,5
